% Model:              GenSignalFourierDec.mph
% Version:            COMSOL 4.3.2.189
% Date:               Nov 25 2013, 12:07
% Table:              Probe Table 1 - 
% k                      m                        l                        gammac1*Ar, gammac1*Ar   gammas1*Ar, gammas1*Ar   gammac2*Ar, gammac2*Ar   gammas2*Ar, gammas2*Ar   gammac3*Ar, gammac3*Ar   gammas3*Ar, gammas3*Ar
7                        1                        3                        3.8396741508247386E-18   -7.950249159312337E-16   -6.03026325187338E-14    -3.2642651720905E-14     3.952891042561376E-14    9.197478747491548E-15
7                        1                        4                        3.311661616176123        -1.3383719829826781      102.98645187196321       -338.0802837722238       -5.3368869871487705      209.86555245630453
7                        2                        1                        6.543103056806901E-16    -1.7731208732850712E-16  1.282922597543559E-14    -2.4449395058206728E-14  -3.881465854679287E-15   1.6094691831549585E-14
7                        2                        2                        1.5057672274987058E-15   -5.9563643609994505E-16  2.0348709256166564E-14   1.546388302635151E-15    -1.2009440690670027E-14  2.060124995928078E-15
7                        2                        3                        -1.5716316478714978E-15  -7.590395335144397E-18   -6.452907762628972E-14   1.1920824595070756E-13   1.8181881335563775E-14   -7.814206245012429E-14
7                        2                        4                        -1.2580740586094358E-15  -3.1129727931952745E-15  -3.1779657685104695E-13  -9.680760292110663E-14   1.972743084139447E-13    5.0166912919242475E-15
8                        1                        1                        -8.384574326495487E-17   -1.865197333075625E-16   -8.744324799135459E-15   -2.1180760599216336E-15  5.5466949839459865E-15   -4.238539611625014E-17
8                        1                        2                        5.2336747652139E-16      8.746975965366677E-16    6.924328889908928E-16    1.275893235496362E-14    -2.3182007664196115E-15  -7.500434920263745E-15
8                        1                        3                        1.7997174748763838E-17   1.2418021277363202E-16   1.1386504290762847E-14   3.005351909827034E-15    -7.193737139670742E-15   5.5047267390852097E-17
8                        1                        4                        -3.3284158491124754E-16  1.3505253917179015E-16   -7.337725472848101E-15   3.6884716277055466E-14   -1.6326242425517877E-15  -2.2991071107265615E-14
8                        2                        1                        4.289615967999085E-15    -1.9283002006301955E-15  4.871191228363138E-14    -2.011036292090932E-13   9.747873253338484E-16    1.2756393626850693E-13
8                        2                        2                        -1.4961463575641124E-16  8.952057794194533E-17    -2.1823805444370437E-15  1.1843875514947527E-16   1.2829289151646695E-15   -3.965219118584045E-16
8                        2                        3                        1.5221206962712569E-15   -2.205977228398906E-16   3.683765907099557E-14    -1.3956840185607492E-13  6.74733784724869E-16     8.817617508575641E-14
8                        2                        4                        -1.9595239912535562E-16  -4.829313650250776E-16   -5.351731029998168E-14   -1.0646559623108305E-14  3.3358540088369676E-14   -2.368830968774802E-15
9                        1                        1                        -1.4879215949975339E-15  -2.361459782169425E-15   -1.330202445147756E-13   -2.9965034826416402E-15  8.195541916248336E-14    -1.8320621509023284E-14
9                        1                        2                        0.11168479227367624      0.13587126249036874      0.3617914824931301       2.177679748660737        -0.5513093062045297      -1.2756156759111688
9                        1                        3                        -4.060696920799534E-16   -1.44736068825835E-15    -1.5259746483570907E-13  -7.584774752310209E-15   9.369533745708054E-14    -2.0166927128167678E-14
9                        1                        4                        3.043746725897343E-17    -1.1960564418163484E-17  4.2297582046654455E-16   -3.601292748155983E-15   3.3078511464969615E-16   2.256903824637633E-15
9                        2                        1                        4.572242164326656E-15    -2.8809035433212706E-15  5.801809402821826E-15    -2.5755288117231656E-13  3.547226117158774E-14    1.5868151806501628E-13
9                        2                        2                        -1.0884222800389822E-16  8.946720154353588E-17    -1.7444712839335093E-15  2.898198655491607E-16    1.0218559075698956E-15   -4.4163667950708965E-16
9                        2                        3                        -9.138955012815171E-16   2.5640137099840034E-16   -4.789194276597066E-15   9.635340917425109E-14    -1.2733843143877782E-14  -5.916130518578626E-14
9                        2                        4                        7.10989107084176E-17     1.8093383315144924E-16   2.1407684669982348E-14   2.514356266086297E-15    -1.3416039402246448E-14  1.9663337371450996E-15
10                       1                        1                        2.568218523342313E-15    3.1371282607785896E-15   2.0670132589134757E-13   -3.44333940925858E-14    -1.240754724857471E-13   5.303557050094978E-14
10                       1                        2                        -8.318870040597942E-16   -7.669207051742515E-16   -3.626956709082084E-15   -1.38028732105863E-14    4.3729503756728614E-15   8.06274854703378E-15
10                       1                        3                        -0.2215993829861435      -0.5475618483440071      -64.10035247754783       8.515661388510196        38.38370013891871        -15.717919762453741
10                       1                        4                        1.1048127163361368E-17   -4.054818194258913E-18   7.698877734870074E-17    -1.3793976221559907E-15  1.7743894705022284E-16   8.703602647851381E-16
10                       2                        1                        1.0763912241215653E-14   -8.811905827166948E-15   -1.1814564193313024E-13  -7.092202635778603E-13   1.8197223035992153E-13   4.257197621746995E-13
10                       2                        2                        -4.773934188037308E-16   5.178336929050704E-16    -8.592023643396538E-15   2.25771093606166E-15     5.018906215406096E-15    -2.7220776750615436E-15
10                       2                        3                        -3.909915529742215E-15   1.5823506907056687E-15   6.080686010442979E-14    4.577144378618203E-13    -1.1223524568219057E-13  -2.740823264310524E-13
10                       2                        4                        2.5342613714199557E-17   6.90507947718646E-17     8.621235138733047E-15    4.811798584294092E-16    -5.439751655068544E-15   1.1089934190977497E-15
11                       1                        1                        4.519379672837712E-15    4.429395866006062E-15    3.353442380538165E-13    -1.1413086621687924E-13  -1.9625011771003524E-13  1.2387312038043982E-13
11                       1                        2                        0.12415617582592563      0.0877714588682898       0.6303472802078469       1.823145702536912        -0.6801009680587655      -1.063195098640604
